id,label,categoria,estados_sugeridos,descricao
ponte_coberta,Ponte Coberta,estrada,"Ativo, Instável, Patrulhado, Amaldiçoado","Ponte de madeira fechada, ótima para pedágios, encontros secretos e emboscadas."
ponte_rompida,Ponte Rompida,estrada,"Arruinado, Alagado, Em Reforma, Instável","Travessia quebrada que força desvio, improviso ou negociação com quem controla a passagem."
porto_de_balsa,Porto de Balsa,civilizacao,"Ativo, Saqueado, Em Quarentena, Alagado","Ponto de travessia com barqueiros, correntes, cabos e cobrança."
portal_rachado,Portal Rachado,sobrenatural,"Selado, Distorcido, Guardado, Em Ritual",Arco ou círculo incompleto que às vezes mostra outro lugar em vez do outro lado.
posto_de_vigia,Posto de Vigia,militar,"Ativo, Abandonado, Patrulhado, Vigiado à Distância","Torre ou plataforma pequena usada para observar estrada, vale, rio ou fronteira."
poco_sem_fundo,Poco Sem Fundo,sobrenatural,"Lacrado, Sem Luz, Assombrado, Contaminado",Poço que devolve ecos longos demais e aceita coisas que nunca voltam.
queda_d_agua_escondida,Queda d'Agua Escondida,natureza,"Oculto, Consagrado, Alagado, Guardado","Cachoeira fora da trilha, escondendo caverna, altar, passagem ou recurso raro."
relogio_solar_impossivel,Relogio Solar Impossivel,sobrenatural,"Distorcido, Consagrado, Lacrado, Vigiado à Distância","Relógio que marca horas que não existem, eclipses antigos ou dias futuros."
refugio_de_contrabandistas,Refugio de Contrabandistas,perigo,"Oculto, Ativo, Saqueado, Ocupação Recente","Depósito escondido para carga ilegal, rotas de fuga e acordos em voz baixa."
serraria,Serraria,civilizacao,"Ativo, Tomado pela Natureza, Saqueado, Incendiado","Instalação de corte de madeira, útil para construção, comércio e desmatamento perigoso."
torre_de_sinal,Torre de Sinal,militar,"Ativo, Abandonado, Em Reforma, Patrulhado","Torre com fogueira, sino, espelhos ou bandeiras para alertar assentamentos distantes."
torre_de_bruxo,Torre de Bruxo,sobrenatural,"Ocupado, Distorcido, Lacrado, Assombrado","Construção estreita cheia de marcas arcanas, experimentos, servos e janelas fora do lugar."
trincheiras_antigas,Trincheiras Antigas,ruina,"Arruinado, Assombrado, Soterrado, Infestado","Linhas de guerra cobertas por terra, armas velhas e histórias que ninguém venceu."
tumba_de_santo,Tumba de Santo,funerario,"Consagrado, Profanado, Guardado, Em Festival","Sepultura venerada por peregrinos, curandeiros, ladrões de relíquias e fanáticos."
tumba_real,Tumba Real,funerario,"Lacrado, Saqueado, Assombrado, Guardado","Sepultura de linhagem importante, com símbolos de poder e dívidas de sangue."
tunel_de_fuga,Tunel de Fuga,estrutura,"Oculto, Soterrado, Patrulhado, Sem Luz","Passagem secreta entre lugares importantes, hoje esquecida, ocupada ou parcialmente caída."
vale_dos_ecos,Vale dos Ecos,natureza,"Distorcido, Silencioso, Assombrado, Vigiado à Distância",Vale onde vozes viajam longe demais ou voltam com palavras que ninguém disse.
viveiro_de_monstros,Viveiro de Monstros,perigo,"Ativo, Infestado, Contaminado, Ocupado","Cercado, caverna ou laboratório usado para criar, prender ou cruzar criaturas."
zona_de_naufragios,Zona de Naufragios,natureza,"Submerso, Saqueado, Assombrado, Contaminado","Trecho de costa, rio ou pântano onde embarcações se perdem com frequência suspeita."
